species,genus,family
Miconia_approximata,Miconia,Melastomataceae
Miconia_ibaguensis,Miconia,Melastomataceae
Leandra_nianga,Leandra,Melastomataceae
Tibouchina_semidecandra,Tibouchina,Melastomataceae
Miconia_racemosa,Miconia,Melastomataceae
Comolia_lythrarioides,Comolia,Melastomataceae
Mouriri_myrtilloides,Mouriri,Melastomataceae
Miconia_corymbiformis,Miconia,Melastomataceae
Macairea_parvifolia,Macairea,Melastomataceae
Brachyotum_strigosum,Brachyotum,Melastomataceae
Clidemia_bullosa,Clidemia,Melastomataceae
Mouriri_sagotiana,Mouriri,Melastomataceae
Blakea_henripittieri,Blakea,Melastomataceae
Clidemia_debilis,Clidemia,Melastomataceae
Comolia_veronicaefolia,Comolia,Melastomataceae
Centradenia_inaequilateralis,Centradenia,Melastomataceae
Miconia_impetiolaris,Miconia,Melastomataceae
Graffenrieda_harlingii,Graffenrieda,Melastomataceae
Tibouchina_ciliaris,Tibouchina,Melastomataceae
Salpinga_secunda,Salpinga,Melastomataceae
Tibouchina_fothergillae,Tibouchina,Melastomataceae
Miconia_donaeana,Miconia,Melastomataceae
Tococa_carolensis,Tococa,Melastomataceae
Henriettea_sylvestris,Henriettea,Melastomataceae
Mouriri_nigra,Mouriri,Melastomataceae
Ossaea_cucullata,Ossaea,Melastomataceae
Mouriri_francavillana,Mouriri,Melastomataceae
Tococa_erythrophylla,Tococa,Melastomataceae
Miconia_compressa,Miconia,Melastomataceae
Marcetia_ericoides,Marcetia,Melastomataceae
Tococa_oligantha,Tococa,Melastomataceae
Conostegia_cuatrecasii,Conostegia,Melastomataceae
Clidemia_ombrophila,Clidemia,Melastomataceae
Miconia_lateriflora,Miconia,Melastomataceae
Miconia_holosericea,Miconia,Melastomataceae
Tetrazygia_fadyenii,Tetrazygia,Melastomataceae
Tetrazygia_angustifolia,Tetrazygia,Melastomataceae
Monochaetum_deppeanum,Monochaetum,Melastomataceae
Miconia_calvescens,Miconia,Melastomataceae
Leandra_clidemioides,Leandra,Melastomataceae
Leandra_longicoma,Leandra,Melastomataceae
Leandra_carassana,Leandra,Melastomataceae
Trembleya_laniflora,Trembleya,Melastomataceae
Tibouchina_heteromalla,Tibouchina,Melastomataceae
Leandra_subseriata,Leandra,Melastomataceae
Mouriri_myrtifolia,Mouriri,Melastomataceae
Axinaea_macrophylla,Axinaea,Melastomataceae
Ossaea_pauciflora,Ossaea,Melastomataceae
Aciotis_caulialata,Aciotis,Melastomataceae
Clidemia_tepuiensis,Clidemia,Melastomataceae
Aciotis_circaeifolia,Aciotis,Melastomataceae
